index,prediction
90927,0.027043104
90928,0.02665624
90929,0.02665624
90930,0.02665624
90931,0.04576692
90932,0.04576692
90933,0.045832843
90934,0.034491956
90935,0.033970714
90936,0.06654188
90937,0.06654188
90938,0.06584948
90939,0.06584948
90940,0.06584948
90941,0.06584948
90942,0.06595808
90943,0.12480509
90944,0.2214958
90945,0.27927715
90946,0.276254
90947,0.276254
90948,0.276254
90949,0.27927715
90950,0.2214958
90951,0.07799396
90952,0.06595808
90953,0.06584948
90954,0.06584948
90955,0.06584948
90956,0.06654188
90957,0.034491956
90958,0.034491956
90959,-0.0069777966
90960,0.0008853078
90961,0.016209304
90962,0.4234156
90963,1.2099193
90964,4.79788
90965,5.6654253
90966,9.266606
90967,9.691583
90968,7.0185494
90969,7.134013
90970,8.157923
90971,9.879445
90972,10.185792
90973,15.168512
90974,20.135347
90975,20.482487
90976,22.279766
90977,22.134624
90978,22.56611
90979,22.999878
90980,22.961878
90981,22.165842
90982,23.147081
90983,23.223568
90984,23.294395
90985,23.411602
90986,23.495173
90987,23.585657
90988,23.641985
90989,23.744225
90990,23.857584
90991,24.2837
90992,23.514889
90993,22.884691
90994,21.187471
90995,19.209244
90996,15.275037
90997,10.945275
90998,7.8982615
90999,4.336178
91000,0.94944227
91001,0.022173584
91002,0.1938166
91003,0.18582168
91004,0.01808253
91005,0.011622131
91006,-0.010845661
91007,-0.010845661
91008,0.0046752393
91009,0.0067887306
91010,0.0067887306
91011,0.0067887306
91012,0.005795598
91013,-0.0012821555
91014,-0.0012821555
91015,-0.002319634
91016,-0.00266397
91017,-0.0027624369
91018,-0.003872335
91019,0.0023183525
91020,0.015871823
91021,0.016909301
91022,0.006785512
91023,0.006785512
91024,-0.00044697523
91025,0.0029544234
91026,0.004076183
91027,0.004076183
91028,0.0052203536
91029,0.0052203536
91030,0.0052203536
91031,0.0052203536
91032,0.0052203536
91033,0.0052203536
91034,0.0052203536
91035,0.0052203536
91036,0.0052203536
91037,0.0052203536
91038,0.0052203536
91039,0.0052203536
91040,0.0052203536
91041,0.0084910095
91042,0.008711994
91043,0.008711994
91044,0.008711994
91045,0.0084910095
91046,0.0084910095
91047,0.0084910095
91048,0.0084910095
91049,0.0084910095
91050,0.0084910095
91051,0.0084910095
91052,0.0084910095
91053,0.0084910095
91054,0.0084910095
91055,0.0084910095
91056,0.0084910095
91057,0.124956995
91058,0.27967626
91059,1.1463385
91060,3.4790308
91061,7.110324
91062,9.430188
91063,10.580974
91064,14.749881
91065,15.339085
91066,18.719633
91067,20.314272
91068,21.089958
91069,22.216757
91070,22.410423
91071,22.423061
91072,22.525063
91073,22.75663
91074,22.986048
91075,22.909363
91076,23.13966
91077,22.740784
91078,22.859526
91079,22.95049
91080,23.040699
91081,23.101522
91082,23.19109
91083,23.5592
91084,23.666527
91085,20.375843
91086,24.13619
91087,24.108696
91088,23.60042
91089,22.853601
91090,21.440195
91091,20.066195
91092,17.098265
91093,12.332433
91094,8.02701
91095,4.058103
91096,1.2875772
91097,-0.02672851
91098,-0.06541014
91099,0.0038032234
91100,0.0029173493
91101,0.02085945
91102,0.019096106
91103,0.007558316
91104,0.007558316
91105,0.007558316
91106,0.007558316
91107,0.019096106
91108,0.019096106
91109,0.019096106
91110,0.018987507
91111,0.018987507
91112,0.018987507
91113,0.018987507
91114,0.018987507
91115,0.018987507
91116,0.018987507
91117,0.012283444
91118,0.014155388
91119,0.0063821673
91120,-0.025850534
91121,-0.025850534
91122,-0.026115835
91123,6.556511e-05
91124,6.556511e-05
91125,6.556511e-05
91126,0.0015746057
91127,-0.00011706352
91128,0.00030258298
91129,0.00032508373
91130,0.0050676167
91131,0.010516703
91132,0.0010351837
91133,0.008431137
91134,0.0029544234
91135,0.004076183
91136,0.004076183
91137,0.004076183
91138,0.004076183
91139,0.004076183
91140,0.004076183
91141,0.004076183
91142,0.004076183
91143,0.004076183
91144,0.004076183
91145,0.004076183
91146,0.004076183
91147,0.004076183
91148,0.004076183
91149,0.004076183
91150,0.004076183
91151,0.004076183
91152,0.004076183
91153,0.004076183
91154,0.113289565
91155,0.51888883
91156,1.4709527
91157,4.48442
91158,4.0990324
91159,8.349595
91160,8.324587
91161,11.768184
91162,11.761175
91163,11.903586
91164,12.13665
91165,12.075842
91166,12.037775
91167,16.808693
91168,16.619425
91169,14.160426
91170,14.0026045
91171,14.506542
91172,14.030892
91173,13.953401
91174,17.686996
91175,18.640678
91176,18.538807
91177,16.825747
91178,17.379946
91179,18.752615
91180,17.504053
91181,18.857876
91182,17.336224
91183,14.79149
91184,16.590023
91185,13.414448
91186,9.581286
91187,10.357495
91188,8.034003
91189,5.1374397
91190,3.9519684
91191,1.1786704
91192,0.787223
91193,0.0053215027
91194,0.0043142736
91195,0.005823195
91196,0.004076183
91197,0.004076183
91198,0.004076183
91199,0.004076183
91200,0.004076183
91201,0.004076183
91202,0.004076183
91203,0.003689319
91204,0.003689319
91205,0.003689319
91206,0.003689319
91207,0.003689319
91208,0.003689319
91209,0.0048334897
91210,0.0048334897
91211,0.0048334897
91212,0.0048334897
91213,0.003689319
91214,0.003689319
91215,0.003689319
91216,0.0048334897
91217,0.003689319
91218,0.003689319
91219,0.003689319
91220,0.0036233962
91221,0.0036233962
91222,0.0036233962
91223,0.0036233962
91224,0.0035582483
91225,0.0035582483
91226,0.0035582483
91227,0.0035582483
91228,0.0035582483
91229,0.0035582483
91230,0.0035582483
91231,0.0035582483
91232,0.0035582483
91233,0.0035582483
91234,0.0035582483
91235,0.0035582483
91236,0.0035582483
91237,0.0035582483
91238,0.0035582483
91239,0.0052033663
91240,0.0035903454
91241,0.0033774078
91242,0.0033774078
91243,0.0033774078
91244,0.0033774078
91245,0.0033774078
91246,0.0033774078
91247,0.0033774078
91248,0.0033774078
91249,0.0033774078
91250,0.060345173
91251,0.23797676
91252,0.98576444
91253,1.0377027
91254,3.183017
91255,3.780716
91256,5.9482617
91257,9.200792
91258,12.51738
91259,13.060423
91260,12.685622
91261,12.8032675
91262,14.541407
91263,12.987514
91264,15.377073
91265,19.045967
91266,16.86971
91267,17.223667
91268,12.985791
91269,13.516252
91270,14.570091
91271,15.333211
91272,13.005714
91273,15.705012
91274,18.968153
91275,17.596909
91276,17.07599
91277,17.263319
91278,15.653033
91279,16.667032
91280,17.021303
91281,13.813454
91282,11.460897
91283,11.061248
91284,6.870142
91285,5.86962
91286,3.556045
91287,0.74915683
91288,0.29048535
91289,0.0035155714
91290,-0.0015746951
91291,-0.0015746951
91292,-0.0015746951
91293,-0.0015746951
91294,-0.0018203855
91295,-0.0035673976
91296,-0.0035673976
91297,0.0070773065
91298,0.0070773065
91299,0.029490352
91300,0.03530112
91301,-0.021409035
91302,-0.0014972091
91303,0.0015131235
91304,-0.047026455
91305,0.007452816
91306,0.008647084
91307,0.006810218
91308,0.008647084
91309,0.007452816
91310,0.008711994
91311,0.008711994
91312,-0.051880002
91313,0.00832513
91314,0.00832513
91315,0.00832513
91316,0.00832513
91317,0.00832513
91318,0.00832513
91319,0.00832513
91320,0.0081041455
91321,0.016366452
91322,0.00077208877
91323,0.00077208877
91324,-0.04895979
91325,0.010622472
91326,-0.0010726452
91327,0.029250294
91328,-0.006392002
91329,-0.006392002
91330,-0.006392002
91331,0.00070273876
91332,-0.006392002
91333,-0.006392002
91334,-0.006392002
91335,0.028770387
91336,0.0011862218
91337,0.005246073
91338,0.0011589527
91339,0.009762466
91340,0.015006304
91341,0.0084910095
91342,0.0084910095
91343,0.0084910095
91344,0.0084910095
91345,0.112068385
91346,0.20909753
91347,1.1240454
91348,2.6157887
91349,5.2512083
91350,6.7864227
91351,10.927449
91352,12.226599
91353,15.628962
91354,18.566368
91355,19.543648
91356,21.064507
91357,20.929987
91358,20.657198
91359,21.172314
91360,21.527357
91361,22.498013
91362,22.50509
91363,21.568947
91364,21.581562
91365,22.05963
91366,22.078356
91367,22.179552
91368,22.213142
91369,22.441397
91370,22.33434
91371,22.420147
91372,22.33692
91373,22.407547
91374,22.176512
91375,20.573751
91376,22.037325
91377,21.281864
91378,20.88859
91379,18.911085
91380,16.866762
91381,11.375135
91382,7.9623795
91383,5.087311
91384,1.5270401
91385,0.048603147
91386,0.048603147
91387,0.047171056
91388,0.047171056
91389,0.046690613
91390,0.04634279
91391,0.04634279
91392,0.04634279
91393,0.045955926
91394,0.045955926
91395,-0.07300043
91396,-0.07300043
91397,-0.07300043
91398,-0.07300043
91399,0.030200034
91400,0.03108105
91401,0.0332641
91402,0.0332641
91403,0.0332641
91404,0.0332641
91405,0.0332641
91406,0.0332641
91407,0.0332641
91408,0.032645732
91409,0.032645732
91410,0.032645732
91411,0.03150156
91412,0.02783838
91413,0.0132113695
91414,0.0132113695
91415,0.024392873
91416,0.024392873
91417,0.024392873
91418,0.024392873
91419,0.024672508
91420,0.1262995
91421,0.15552178
91422,0.08614457
91423,0.025864273
91424,0.025755674
91425,0.012147129
91426,0.015417784
91427,0.015417784
91428,0.015417784
91429,0.026062489
91430,0.026062489
91431,0.026062489
91432,0.026062489
91433,0.026062489
91434,0.026459098
91435,0.027687311
91436,0.027351856
91437,0.02888158
91438,0.024681687
91439,0.028849006
91440,0.02888158
91441,0.14055601
91442,0.32112414
91443,1.3767815
91444,5.007655
91445,7.8028846
91446,11.457615
91447,14.232299
91448,17.00591
91449,19.366503
91450,21.157146
91451,22.812891
91452,22.991915
91453,23.114332
91454,22.857288
91455,23.130375
91456,22.803288
91457,22.484123
91458,20.857927
91459,22.007359
91460,21.99315
91461,21.393261
91462,20.6478
91463,20.59138
91464,20.94998
91465,20.907314
91466,20.681498
91467,21.193548
91468,21.813503
91469,22.408102
91470,22.677912
91471,22.193258
91472,22.2902
91473,21.486488
91474,20.436804
91475,18.73822
91476,16.55809
91477,10.828869
91478,7.379778
91479,3.5906844
91480,1.4790361
91481,-0.03929776
91482,0.04199168
91483,0.03861192
91484,0.04865414
91485,0.035604686
91486,0.023246914
91487,0.015024275
91488,0.00469625
91489,-0.019815087
91490,0.011377811
91491,-0.022774398
91492,0.0128162205
91493,0.010119706
91494,0.0052203536
91495,0.004076183
91496,0.004076183
91497,0.004076183
91498,0.004076183
91499,0.004076183
91500,0.004076183
91501,0.004076183
91502,0.004076183
91503,0.004076183
91504,0.004076183
91505,0.004076183
91506,0.004076183
91507,0.004076183
91508,0.004076183
91509,0.004076183
91510,0.004076183
91511,0.004076183
91512,0.004076183
91513,0.004076183
91514,0.004076183
91515,0.004076183
91516,0.004076183
91517,0.004076183
91518,0.004297167
91519,0.004297167
91520,0.004297167
91521,0.004297167
91522,0.004297167
91523,0.004297167
91524,0.004297167
91525,0.004297167
91526,0.004297167
91527,0.004297167
91528,0.004297167
91529,0.004297167
91530,0.004076183
91531,0.004076183
91532,0.004076183
91533,0.004076183
91534,0.004076183
91535,0.004076183
91536,0.004076183
91537,0.010459423
91538,0.21114215
91539,1.420891
91540,4.8704853
91541,7.9437532
91542,11.673056
91543,15.116419
91544,17.873537
91545,20.213804
91546,23.443823
91547,23.330765
91548,23.350246
91549,22.659067
91550,22.830929
91551,22.77076
91552,22.327988
91553,22.433771
91554,22.426971
91555,22.04928
91556,18.733187
91557,20.213156
91558,20.609516
91559,20.65481
91560,20.549246
91561,20.719307
91562,20.728159
91563,21.077353
91564,17.564335
91565,20.517252
91566,20.19878
91567,17.209137
91568,19.991257
91569,19.906752
91570,19.82288
91571,17.964079
91572,15.457555
91573,11.600858
91574,8.50719
91575,4.1641054
91576,1.5551543
91577,0.039592564
91578,0.038009852
91579,0.03568524
91580,0.035027027
91581,-0.090672016
91582,-0.06350386
91583,-0.019815087
91584,-0.018993437
91585,0.008136034
91586,0.00447762
91587,0.009492278
91588,0.008950084
91589,0.0087291
91590,0.0087291
91591,0.0087291
91592,0.010238022
91593,0.0084910095
91594,0.0084910095
91595,0.0084910095
91596,0.0084910095
91597,0.0084910095
91598,0.0084910095
91599,0.008711994
91600,-0.048352003
91601,-0.1022017
91602,-0.018807352
91603,-0.024080276
91604,0.046120077
91605,0.046120077
91606,0.049817502
91607,0.049817502
91608,0.051347226
91609,0.015551895
91610,0.02750042
91611,0.0083939135
91612,0.008950084
91613,0.008950084
91614,0.0087291
91615,0.010119706
91616,0.0084910095
91617,0.0052203536
91618,0.0052203536
91619,0.004076183
91620,0.004076183
91621,0.004076183
91622,0.004076183
91623,0.004076183
91624,0.004076183
91625,0.004076183
91626,0.004076183
91627,0.004076183
91628,0.004076183
91629,0.004076183
91630,0.004076183
91631,0.004076183
91632,0.004076183
91633,0.004076183
91634,0.0915153
91635,1.0023742
91636,4.134689
91637,4.66835
91638,6.6495295
91639,7.93971
91640,9.885774
91641,10.740378
91642,13.460652
91643,13.707671
91644,13.947154
91645,12.815567
91646,13.904211
91647,13.326411
91648,14.356414
91649,14.505557
91650,14.772913
91651,15.168307
91652,14.523843
91653,14.397433
91654,14.470221
91655,15.283958
91656,13.615775
91657,13.977608
91658,14.585848
91659,13.585474
91660,13.181267
91661,13.190709
91662,12.486721
91663,12.7541275
91664,11.410257
91665,10.788104
91666,9.639065
91667,7.8606577
91668,6.2862434
91669,4.7664146
91670,4.5721416
91671,0.6476764
91672,0.4905052
91673,0.0046459734
91674,0.0045808256
91675,0.0045808256
91676,0.004144162
91677,0.003796339
91678,0.0053052604
91679,0.005186945
91680,0.0035582483
91681,0.0035582483
91682,0.0035582483
91683,0.0035582483
91684,0.0035582483
91685,0.0035582483
91686,0.0035582483
91687,0.0035582483
91688,0.0035582483
91689,0.0035582483
91690,0.0035582483
91691,0.0035582483
91692,0.0035582483
91693,0.0035582483
91694,0.0035582483
91695,0.0035582483
91696,0.0033774078
91697,0.0035582483
91698,0.0035582483
91699,0.0035582483
91700,0.0035582483
91701,0.0035582483
91702,0.0035582483
91703,0.0035582483
91704,0.0035582483
91705,0.0035582483
91706,0.0035582483
91707,0.0035582483
91708,0.0035582483
91709,0.0035582483
91710,0.0033187866
91711,0.14333448
91712,0.12536061
91713,0.12536061
91714,0.12536061
91715,0.12536061
91716,0.12536061
91717,0.12536061
91718,0.12536061
91719,0.1540857
91720,0.14321977
91721,0.007167995
91722,0.005522877
91723,0.005522877
91724,0.005522877
91725,0.005522877
91726,0.005522877
91727,0.005522877
91728,0.005522877
91729,0.005522877
91730,0.15215299
91731,0.7445964
91732,2.2777927
91733,4.354898
91734,7.2612424
91735,10.150317
91736,13.237378
91737,15.037936
91738,13.653015
91739,14.542471
91740,15.560547
91741,14.899246
91742,19.665565
91743,17.679049
91744,19.1292
91745,20.168049
91746,19.65183
91747,16.275871
91748,19.186132
91749,22.018324
91750,22.084002
91751,22.653614
91752,22.597557
91753,22.63452
91754,20.627625
91755,19.84074
91756,20.205555
91757,19.67789
91758,19.837074
91759,19.623932
91760,20.927835
91761,21.612219
91762,20.135208
91763,15.891413
91764,13.062628
91765,10.394635
91766,5.9147635
91767,4.198743
91768,0.27531266
91769,0.0042812526
91770,0.009309471
91771,0.009309471
91772,0.01592356
91773,0.01592356
91774,0.01728502
91775,0.01728502
91776,0.007899493
91777,0.023960203
91778,0.024712443
91779,0.0134164095
91780,0.020861804
91781,0.017314285
91782,0.004076183
91783,0.004076183
91784,0.004076183
91785,0.004076183
91786,0.004076183
91787,0.004076183
91788,0.004076183
91789,0.004076183
91790,0.004076183
91791,0.004076183
91792,0.0067890286
91793,0.004076183
91794,0.004076183
91795,0.004076183
91796,0.004076183
91797,0.004076183
91798,0.004076183
91799,0.004076183
91800,0.004076183
91801,0.004076183
91802,0.004076183
91803,0.004076183
91804,0.004076183
91805,0.004076183
91806,0.004076183
91807,0.004076183
91808,0.004076183
91809,0.004076183
91810,0.004076183
91811,0.0038367212
91812,0.0038367212
91813,0.0038367212
91814,0.0038367212
91815,0.0060408115
91816,0.006280273
91817,0.006280273
91818,0.006280273
91819,0.0058934093
91820,0.0058934093
91821,0.0058934093
91822,0.0058934093
91823,0.0058934093
91824,0.0058934093
91825,0.0058934093
91826,0.4366569
91827,3.350744
91828,6.1156507
91829,5.4114766
91830,6.476966
91831,7.31124
91832,7.886352
91833,9.494822
91834,7.1558924
91835,8.612616
91836,10.101294
91837,14.337671
91838,18.421638
91839,15.300412
91840,19.06107
91841,19.551205
91842,19.085068
91843,20.173262
91844,20.782274
91845,17.450666
91846,18.449348
91847,18.487658
91848,18.515633
91849,18.514997
91850,17.705885
91851,16.920507
91852,17.043753
91853,15.5323515
91854,15.254309
91855,14.544425
91856,13.568671
91857,13.718229
91858,17.107698
91859,15.157518
91860,14.272005
91861,11.769451
91862,6.783842
91863,4.569423
91864,0.58173203
91865,0.0087291
91866,0.0087291
91867,0.0087291
91868,0.0087291
91869,0.008342236
91870,0.0048334897
91871,0.0048334897
91872,0.0048334897
91873,0.003689319
91874,0.003689319
91875,0.004076183
91876,0.004076183
91877,0.004076183
91878,0.004076183
91879,0.004076183
91880,0.004076183
91881,0.004076183
91882,0.005721301
91883,0.005721301
91884,0.004076183
91885,0.004076183
91886,0.004076183
91887,0.004076183
91888,0.004076183
91889,0.004076183
91890,0.004076183
91891,0.004076183
91892,0.004076183
91893,0.004076183
91894,0.003689319
91895,0.003689319
91896,0.0048334897
91897,0.0081041455
91898,0.0081041455
91899,0.010308236
91900,0.010308236
91901,0.0029761791
91902,0.0023829043
91903,-0.016639829
91904,-0.026396036
91905,0.2829014
91906,0.29449946
91907,0.29449946
91908,0.29449946
91909,0.29449946
91910,0.2829014
91911,0.30478203
91912,-0.028342903
91913,-0.016639829
91914,-0.001486659
91915,0.0023829043
91916,0.0029761791
91917,0.017061621
91918,0.01052922
91919,0.01052922
91920,0.01052922
91921,0.010861993
91922,0.31976676
91923,1.4724226
91924,2.2776206
91925,3.7913308
91926,5.184294
91927,8.08754
91928,11.449809
91929,14.452392
91930,15.89828
91931,16.708042
91932,21.02575
91933,20.734682
91934,20.753881
91935,20.429337
91936,19.676126
91937,17.52092
91938,17.147192
91939,17.250284
91940,17.720575
91941,16.848164
91942,13.949706
91943,14.095593
91944,17.242956
91945,18.059662
91946,20.233784
91947,19.914137
91948,21.660461
91949,21.910385
91950,21.78431
91951,22.864809
91952,22.792349
91953,21.599283
91954,21.068762
91955,18.267729
91956,13.324275
91957,10.955496
91958,5.7166986
91959,4.4163046
91960,0.52421093
91961,0.1355393
91962,0.006430298
91963,-0.013720334
91964,0.0069357753
91965,0.0056029856
91966,0.010617644
91967,0.008988947
91968,0.008576423
91969,0.0084910095
91970,0.0084910095
91971,0.0084910095
91972,0.0052203536
91973,0.0052203536
91974,0.004076183
91975,0.004076183
91976,0.004076183
91977,0.004076183
91978,0.004076183
91979,0.004076183
91980,0.004076183
91981,0.004076183
91982,0.004076183
91983,0.004076183
91984,0.004076183
91985,0.004076183
91986,0.004076183
91987,0.004076183
91988,0.004076183
91989,0.004076183
91990,0.004076183
91991,0.004076183
91992,0.004076183
91993,0.004076183
91994,0.004076183
91995,0.004076183
91996,0.004076183
91997,0.004076183
91998,0.004076183
91999,0.004076183
92000,0.004076183
92001,0.004076183
92002,0.004076183
92003,0.004076183
92004,0.004076183
92005,0.004076183
92006,0.004076183
92007,0.004076183
92008,0.004076183
92009,0.004076183
92010,0.004076183
92011,0.004076183
92012,0.004076183
92013,0.004076183
92014,0.004076183
92015,0.004076183
92016,0.004076183
92017,0.004076183
92018,0.2389108
92019,1.341557
92020,3.8161392
92021,6.3082733
92022,8.823766
92023,13.322125
